20:27:33 | INFO     | pipeline                     | ======================================================================
20:27:33 | INFO     | pipeline                     | STARTING OLIST CHECKOUT A/B TESTING PIPELINE
20:27:33 | INFO     | pipeline                     | ======================================================================
20:27:33 | INFO     | src.data_loader              | Real Olist CSVs detected in data/raw/ -- loading actual dataset.
20:27:34 | INFO     | src.data_loader              | Built analysis table: 99,441 rows, 99,441 unique orders (source=real); 768 orders missing a review score, 2,164 missing a product category
20:27:34 | INFO     | src.experiment_design        | SRM check: control=49,488 treatment=49,953 p=0.2992 -> PASS - no SRM detected
20:27:35 | INFO     | src.experiment_design        | A/A test on 'payment_value': observed FPR=0.061 (expected ~0.05) -> PASS - false positive rate matches alpha, test setup is valid
20:27:35 | INFO     | pipeline                     | Saved table: 00_srm_check.csv
20:27:35 | INFO     | pipeline                     | Saved table: 00_aa_test.csv
20:27:35 | INFO     | src.experiment_design        | Injected ground-truth effect: flipped 92 treatment orders to converted (target lift=6.0%)
20:27:35 | INFO     | src.stats_tests              | Conversion test: control=0.9699 treatment=0.9724 abs_lift=+0.0025 p=0.01753 significant=True
20:27:35 | INFO     | pipeline                     | Saved table: 01_conversion_test.csv
20:27:35 | INFO     | src.stats_tests              | Continuous test [payment_value]: control=161.22 treatment=160.76 diff=-0.45 p=0.74838 significant=False
20:27:35 | INFO     | pipeline                     | Saved table: 02_aov_test.csv
20:27:36 | INFO     | src.stats_tests              | Continuous test [delivery_days]: control=12.52 treatment=12.60 diff=+0.08 p=0.17750 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9203 treatment=0.9175 abs_lift=-0.0028 p=0.11298 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.0063 treatment=0.0058 abs_lift=-0.0004 p=0.39451 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.0063 treatment=0.0056 abs_lift=-0.0007 p=0.19034 significant=False
20:27:36 | INFO     | src.stats_tests              | Continuous test [review_score]: control=4.09 treatment=4.08 diff=-0.01 p=0.46413 significant=False
20:27:36 | INFO     | src.guardrails               | Guardrail [Delivery Time (days)]: control=12.517 treatment=12.599 diff=+0.083 p=0.1775 -> OK
20:27:36 | INFO     | src.guardrails               | Guardrail [On-Time Delivery Rate]: control=0.920 treatment=0.917 diff=-0.003 p=0.1130 -> OK
20:27:36 | INFO     | src.guardrails               | Guardrail [Cancellation Rate]: control=0.006 treatment=0.006 diff=-0.000 p=0.3945 -> OK
20:27:36 | INFO     | src.guardrails               | Guardrail [Payment Failure Rate]: control=0.006 treatment=0.006 diff=-0.001 p=0.1903 -> OK
20:27:36 | INFO     | src.guardrails               | Guardrail [Review Score (stars)]: control=4.090 treatment=4.084 diff=-0.006 p=0.4641 -> OK
20:27:36 | INFO     | pipeline                     | Saved table: 03_guardrails.csv
20:27:36 | INFO     | src.stats_tests              | Power analysis: need n=1,542/arm to detect 2.0% abs lift on 97.0% baseline (alpha=0.05, power=0.8)
20:27:36 | INFO     | pipeline                     | Saved table: 04_power_analysis.csv
20:27:36 | INFO     | src.stats_tests              | CUPED adjustment on 'payment_value' using covariate 'n_items': theta=73.3833, variance reduced from 49261.6302 to 47658.2213 (3.3% reduction)
20:27:36 | INFO     | pipeline                     | Saved table: 05_cuped_variance_reduction.csv
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9460 treatment=0.9554 abs_lift=+0.0094 p=0.17791 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9709 treatment=0.9732 abs_lift=+0.0022 p=0.04068 significant=True
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9705 treatment=0.9718 abs_lift=+0.0013 p=0.42905 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9598 treatment=0.9651 abs_lift=+0.0054 p=0.12038 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9757 treatment=0.9768 abs_lift=+0.0011 p=0.74049 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9768 treatment=0.9800 abs_lift=+0.0032 p=0.46591 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9726 treatment=0.9793 abs_lift=+0.0067 p=0.14112 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9740 treatment=0.9786 abs_lift=+0.0046 p=0.28282 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9695 treatment=0.9826 abs_lift=+0.0131 p=0.02135 significant=True
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9793 treatment=0.9790 abs_lift=-0.0003 p=1.00000 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9890 treatment=0.9865 abs_lift=-0.0025 p=0.80046 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9802 treatment=0.9788 abs_lift=-0.0014 p=0.93024 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9768 treatment=0.9797 abs_lift=+0.0029 p=0.47138 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9857 treatment=0.9843 abs_lift=-0.0015 p=1.00000 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9800 treatment=0.9822 abs_lift=+0.0022 p=0.72054 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9765 treatment=0.9773 abs_lift=+0.0008 p=0.88869 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9846 treatment=0.9849 abs_lift=+0.0003 p=0.98416 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9830 treatment=0.9756 abs_lift=-0.0074 p=0.13444 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9813 treatment=0.9863 abs_lift=+0.0050 p=0.80733 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9750 treatment=0.9757 abs_lift=+0.0007 p=0.96628 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9775 treatment=0.9814 abs_lift=+0.0039 p=0.22355 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9851 treatment=0.9897 abs_lift=+0.0046 p=0.39082 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9724 treatment=0.9754 abs_lift=+0.0030 p=0.70473 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9803 treatment=0.9792 abs_lift=-0.0012 p=0.89568 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9762 treatment=0.9799 abs_lift=+0.0037 p=0.39001 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9821 treatment=0.9714 abs_lift=-0.0107 p=0.88977 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9733 treatment=0.9791 abs_lift=+0.0058 p=0.10925 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9773 treatment=0.9592 abs_lift=-0.0181 p=0.36049 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9677 treatment=0.9685 abs_lift=+0.0007 p=1.00000 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9737 treatment=0.9861 abs_lift=+0.0124 p=0.55397 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9846 treatment=0.9643 abs_lift=-0.0203 p=0.89592 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=1.0000 treatment=0.9610 abs_lift=-0.0390 p=0.40668 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9812 treatment=0.9738 abs_lift=-0.0074 p=0.35763 significant=False
