segment_dimension,segment_value,n_control,n_treatment,rate_control,rate_treatment,absolute_lift,p_value,significant
Customer Tier,Premium (>500 BRL),2167,2129,0.9460083064143978,0.9553781117895725,0.009369805375174733,0.1779134173152362,False
Customer Tier,Non-premium (<=500 BRL),47321,47824,0.9709431330698844,0.9731515557042489,0.002208422634364493,0.04067827145920422,True
State,SP,21028,20718,0.9704679474985733,0.9718119509605174,0.0013440034619440766,0.42905139696189987,False
State,RJ,6340,6512,0.9597791798107256,0.9651412776412777,0.005362097830552082,0.12038107228617166,False
State,MG,5724,5911,0.9757162823200559,0.9768228726103874,0.001106590290331444,0.7404946197924385,False
State,RS,2760,2706,0.9768115942028985,0.9800443458980045,0.003232751695105951,0.46591017431129944,False
State,PR,2481,2564,0.9725916968964128,0.9793291731669267,0.006737476270513909,0.1411152673889572,False
Product Category,housewares,2887,2949,0.974021475580187,0.9786368260427264,0.004615350462539358,0.2828151916456871,False
Product Category,perfumery,1540,1611,0.9694805194805195,0.9826194909993793,0.013138971518859788,0.021350197169657567,True
Product Category,auto,1931,1950,0.9792853443811497,0.978974358974359,-0.00031098540679064257,1.0,False
Product Category,pet_shop,818,887,0.988997555012225,0.9864712514092446,-0.00252630360298034,0.8004616447007566,False
Product Category,stationery,1162,1133,0.9802065404475043,0.9788172992056487,-0.0013892412418555766,0.9302446052553413,False
Product Category,furniture_decor,3146,3209,0.9767959313413859,0.9797444686818323,0.002948537340446422,0.471380796078709,False
Product Category,office_furniture,630,635,0.9857142857142858,0.984251968503937,-0.0014623172103487292,1.0,False
Product Category,garden_tools,1797,1685,0.9799666110183639,0.9821958456973294,0.0022292346789655193,0.7205421973769632,False
Product Category,computers_accessories,3315,3346,0.9764705882352941,0.9772863120143455,0.0008157237790513694,0.8886874039156084,False
Product Category,bed_bath_table,4617,4698,0.9846220489495343,0.9848871860366113,0.00026513708707698314,0.9841588964968607,False
Product Category,toys,1937,1925,0.9829633453794527,0.9755844155844156,-0.007378929795037181,0.13443822139452324,False
Product Category,construction_tools_construction,375,365,0.9813333333333333,0.9863013698630136,0.004968036529680364,0.8073311578528496,False
Product Category,telephony,2123,2059,0.9750353273669335,0.9757163671685284,0.0006810398015948405,0.9662761000933526,False
Product Category,health_beauty,4393,4403,0.9774641475073982,0.9813763343175108,0.003912186810112628,0.22354536562263463,False
Product Category,electronics,1277,1263,0.985121378230227,0.9897070467141726,0.004585668483945593,0.3908153524572866,False
Product Category,baby,1377,1462,0.9724037763253449,0.9753761969904241,0.0029724206650791896,0.7047315302261868,False
Product Category,cool_stuff,1780,1824,0.9803370786516854,0.9791666666666666,-0.001170411985018771,0.8956836692959199,False
Product Category,watches_gifts,2768,2833,0.9761560693641619,0.9798799858806918,0.0037239165165299237,0.3900149430676404,False
Product Category,air_conditioning,112,140,0.9821428571428571,0.9714285714285714,-0.010714285714285676,0.8897737781812262,False
Product Category,sports_leisure,3896,3787,0.973305954825462,0.9791391602851862,0.005833205459724211,0.1092532869506018,False
Product Category,books_general_interest,264,245,0.9772727272727273,0.9591836734693877,-0.018089053803339583,0.36049280481674983,False
Product Category,small_appliances,310,317,0.967741935483871,0.9684542586750788,0.000712323191207842,1.0,False
Product Category,food,228,216,0.9736842105263158,0.9861111111111112,0.012426900584795342,0.5539654048898124,False
Product Category,fashion_underwear_beach,65,56,0.9846153846153847,0.9642857142857143,-0.02032967032967037,0.8959177045824738,False
Product Category,christmas_supplies,51,77,1.0,0.961038961038961,-0.038961038961038974,0.4066783672770984,False
Product Category,fashion_bags_accessories,904,953,0.9811946902654868,0.9737670514165793,-0.007427638848907514,0.3576264248340595,False
Product Category,musical_instruments,316,309,0.9683544303797469,0.9773462783171522,0.008991847937405262,0.6563097014921128,False
Product Category,luggage_accessories,517,506,0.988394584139265,0.9822134387351779,-0.006181145404087096,0.5739715625058726,False
Product Category,construction_tools_lights,125,108,0.992,0.9907407407407407,-0.0012592592592592933,1.0,False
Product Category,books_technical,125,134,0.992,0.9776119402985075,-0.014388059701492484,0.6641958853952448,False
Product Category,home_appliances,362,402,0.988950276243094,0.9701492537313433,-0.018801022511750642,0.11897180958798764,False
